,Instrument,Company Common Name,Country of Exchange,Company Market Cap,GICS Sub-Industry Code,GICS Sub-Industry Name
319,ASAI3.SA,Sendas Distribuidora SA,Brazil,2238347776.28584,30101040,Consumer Staples Merchandise Retail
260,000902.SZ,YONFER Agricultural Technology Co Ltd,China,2231163739.33524,15101030,Fertilizers & Agricultural Chemicals
186,URC.PS,Universal Robina Corp,Philippines,2224599231.99166,30202030,Packaged Foods & Meats
34,8242.T,H2O Retailing Corp,Japan,2215683906.63212,30101030,Food Retail
444,603317.SS,Sichuan Teway Food Group Co Ltd,China,2212204661.72314,30202030,Packaged Foods & Meats
326,HUSQb.ST,Husqvarna AB,Sweden,2207144547.42013,20106015,Agricultural & Farm Machinery
325,3397.T,TORIDOLL Holdings Corp,Japan,2204256782.97242,25301040,Restaurants
288,2050.SE,Savola Group Company SJSC,Saudi Arabia,2201922820.84743,30202030,Packaged Foods & Meats
393,605296.SS,Yunnan Shennong Agricultural Industry Group Co Ltd,China,2198427199.38175,30202030,Packaged Foods & Meats
131,GNC.L,Greencore Group PLC,United Kingdom,2190722153.68424,30202030,Packaged Foods & Meats
220,BAFARB.BIV,Grupo Bafar SAB de CV,Mexico,2166628625.35337,30202030,Packaged Foods & Meats
175,MYOR.JK,Mayora Indah Tbk PT,Indonesia,2150711733.34723,30202030,Packaged Foods & Meats
324,3387.T,Create Restaurants Holdings Inc,Japan,2116543707.31075,25301040,Restaurants
199,600872.SS,Jonjee Hi-tech Industrial and Commercial Holding Co Ltd,China,2110860010.86937,30202030,Packaged Foods & Meats
511,ECOO.KL,Eco-Shop Marketing Bhd,Malaysia,2109102600.94173,30101040,Consumer Staples Merchandise Retail
290,MAB.L,Mitchells & Butlers PLC,United Kingdom,2100926161.72355,25301040,Restaurants
372,MFPC.CA,Misr Fertilizers Production Company SAE,Egypt,2097621434.14898,15101030,Fertilizers & Agricultural Chemicals
20,GRG.L,Greggs PLC,United Kingdom,2097608479.84146,25301040,Restaurants
275,HAPL.NS,Hatsun Agro Product Ltd,India,2093446087.24185,30202030,Packaged Foods & Meats
2,SPAB.BR,"Societe de Services de Participations, de Direction et d'Elaboration SA",Belgium,2089110315.39931,30201030,Soft Drinks & Non-alcoholic Beverages
218,000422.SZ,Hubei Yihua Chemical Industry Co Ltd,China,2087629853.16336,15101030,Fertilizers & Agricultural Chemicals
122,DPFE.NS,Deepak Fertilisers and Petrochemicals Corp Ltd,India,2085921582.60824,15101030,Fertilizers & Agricultural Chemicals
59,AVIJ.J,Avi Ltd,South Africa,2080777067.78763,30202030,Packaged Foods & Meats
346,097950.KS,CJ CheilJedang Corp,Korea; Republic (S. Korea),2076203427.2409,30202030,Packaged Foods & Meats
404,MONDE.PS,Monde Nissin Corp,Philippines,2074336581.78064,30202030,Packaged Foods & Meats
210,ALICORC1.LM,Alicorp SAA,Peru,2038813059.22284,30202030,Packaged Foods & Meats
525,CMRY.JK,Cisarua Mountain Dairy Tbk PT,Indonesia,2033855358.9102,30202030,Packaged Foods & Meats
179,ALG.N,Alamo Group Inc,United States of America,2021891872.88,20106015,Agricultural & Farm Machinery
249,ALSEA.MX,Alsea SAB de CV,Mexico,2021659576.67175,25301040,Restaurants
308,SSPG.L,SSP Group PLC,United Kingdom,2013406166.4502,25301040,Restaurants
534,PMRJ.J,Premier Group Ltd,South Africa,1996981659.29581,30202030,Packaged Foods & Meats
112,WMK.N,Weis Markets Inc,United States of America,1991692612.53,30101030,Food Retail
390,OCDO.L,Ocado Group PLC,United Kingdom,1983133259.08707,30101030,Food Retail
289,PRESCO.LG,Presco PLC,Nigeria,1960182723.67998,30202010,Agricultural Products & Services
403,002539.SZ,Chengdu Wintrue Holding Co Ltd,China,1952013263.86787,15101030,Fertilizers & Agricultural Chemicals
194,CSR.CS,Compagnie Sucrerie Marocaine et de Raffinage SA,Morocco,1949197939.56519,30202030,Packaged Foods & Meats
113,CHMB.NS,Chambal Fertilisers and Chemicals Ltd,India,1947609499.09739,15101030,Fertilizers & Agricultural Chemicals
181,2593.T,Ito En Ltd,Japan,1944508740.57622,30201030,Soft Drinks & Non-alcoholic Beverages
114,BAYE.NS,Bayer Cropscience Ltd,India,1942182470.40151,15101030,Fertilizers & Agricultural Chemicals
182,600827.SS,Shanghai Bailian Group Co Ltd,China,1923139216.96093,30101030,Food Retail
295,ZYDS.NS,Zydus Wellness Ltd,India,1920671460.44659,30202030,Packaged Foods & Meats
180,000553.SZ,ADAMA Ltd,China,1914336924.28861,15101030,Fertilizers & Agricultural Chemicals
474,1579.HK,Yihai International Holding Ltd,Hong Kong,1914306336.63619,30202030,Packaged Foods & Meats
398,002507.SZ,Chongqing Fuling Zhacai Group Co Ltd,China,1905816158.9425,30202030,Packaged Foods & Meats
306,2270.SE,Saudia Dairy & Foodstuff Company SJSC,Saudi Arabia,1904178540.04101,30202030,Packaged Foods & Meats
450,TFG.BK,Thaifoods Group PCL,Thailand,1892060248.08779,30202030,Packaged Foods & Meats
