,Instrument,Date,Price Close,Country of Exchange,Earnings Quality Region,GICS Sub-Industry Name,Company Market Capitalization,Net Income after Minority Interest,Property Plant & Equipment - Net - Total,Revenue from Business Activities - Total,Cash & Short Term Investments,Loans & Receivables - Total,Intangible Assets,Total Assets,Dividends Paid - Cash - Total - Cash Flow,Common Stock Buyback - Net,Shareholders Equity - Common,Capital Expenditures - Total,Debt - Long-Term - Total,Short-Term Debt & Notes Payable
1748,BARN.S,2020-07-01,1931.9022945966,,,,10603937364.9149,372882267.317598,1514171128.39681,7360402710.34338,584098393.777149,793973128.598848,,6574534801.4951,132425167.534113,22941101.1444372,2423772098.19174,283487399.239251,1550109101.92949,326978482.675018
1749,BARN.S,2021-07-01,2325.98357111976,,,,12766993532.2093,327304370.015931,1857997786.38628,7138516864.07334,1559360265.63365,660511344.770338,,7903829551.74322,147789955.656228,28304919.5431016,2604866629.7731,290892802.214985,2386998339.78971,624772551.189817
1750,BARN.S,2022-07-01,2234.96299384968,,,,12267394508.4958,422557985.11681,2037850273.22404,7932579969.05237,1221394535.51913,826261202.185792,,7916959562.84153,132857269.444823,20250787.0420804,2932084153.00546,303121264.432375,2354664480.87432,128832786.885246
1751,BARN.S,2023-06-30,1928.96235898581,,,,10587800475.8182,384027012.077891,1857061591.97872,8615048024.88888,918084714.548803,850004092.49028,,7940330468.59014,163389677.056203,18046996.5255051,2969100675.2609,293728150.04552,1559781051.77,126487620.216902
1752,BARN.S,2024-07-01,1651.52857775809,,,,9065005846.25609,481730550.381385,2006257501.98166,9182997086.2695,583133280.489186,1154059562.90341,,9549029554.97679,166514169.719771,25616480.4603566,3279416827.0864,261907345.421988,1286425093.4209,213069867.512173
1753,BARN.S,2025-07-01,1137.8002528445,,,,6245224020.22756,214123144.090025,2144657566.48623,11718226263.2388,1178576135.56131,2074225700.16474,,17838643210.1671,179307895.359462,0.0,3341282654.74229,321639961.221005,3829508119.55754,1601062602.9654
1754,BARN.S,2026-07-01,1424.68800197702,,,,7819910137.15557,217971938.503802,2364966258.43539,17343023066.4427,2424137715.57111,2294077730.56736,,15800947263.1842,186527510.030203,2204733.73103966,3276993251.68708,348471066.228606,5625787303.17421,1238512871.78205
1755,0322.HK,2000-06-30,0.048186672952344,Hong Kong,Developed Asia,Packaged Foods & Meats,269517163.708293,-35858012.6265814,1129646000.0,608551214.287429,89814000.0,35014000.0,,1073882000.0,0.0,95000.0334515814,447700000.0,9906003.48817365,155089000.0,259251000.0
1756,0322.HK,2001-06-29,0.109542041873405,,,,612198220.812339,40109014.9000363,1688254000.0,735244273.134756,92950000.0,39935000.0,,1057270000.0,30035011.1576595,622000.231065425,490637000.0,11894004.4184856,116493000.0,
1757,0322.HK,2002-06-28,0.22427213669406,,,,1253390864.72904,60338014.117628,1781724000.0,944566221.005528,173294000.0,37288000.0,,1142964000.0,30179007.0611535,,519926000.0,79507018.6027086,176853000.0,
